english,uzbek,part_of_speech,cefr,cefr_source,source_name,source_license,source_ref
a,amper,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108363
abaxial,anal|orqa|orqadagi,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i3
abbacy,abbatlik|abbat unvoni,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i81911
abbey,abbatlik|monastir,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i49765|i49766|i49767
abbot,abbat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88008
abbreviate,kamaytirmoq|qisqartirmoq|kaltaroq qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22936|i22937
abbreviated,qisqacha,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7848
abbreviation,qisqartirish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37297|i73919
abc's,alifbo,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70607
abcs,alifbo,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70607
abdicate,kechmoq|voz kechmoq|yuz o'girmoq|bahridan o'tmoq|o'zini mahrum qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i33653
abdication,kechish|voz kechish|yuz o'girish|bahridan o'tish|o'zini mahrum qilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70680|i74794
abdomen,qorin|qorin bo'shlig'i,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66121|i66127
abdominal,qorin|qoringa oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16722
abdominal cavity,qorin|qorin bo'shlig'i,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66127
abdominous,semiz|yo'g'on|qorni katta,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5399
abduce,ko'rsatmoq|tekstdan parcha kellirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i26658
abducent,ajratadigan|mushaklarning tortilishi,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7
abduct,tutmoq|ushlamoq|yopishmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i29074
abducting,ajratadigan|mushaklarning tortilishi,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7
abductor,o'g'ri|o'g'irlovchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64761|i90844
abductor muscle,o'g'ri|o'g'irlovchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64761
abeam,orqasidan|kemaning izidan,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18594
abecedarian,alifbo tartibida joylashtirilgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i532
abed,ko'rpa-to'shakda,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19717
abele,oq terak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i103748
aberrance,adashish|adashib qolish|yo'lini yo'qotish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113219
aberrancy,adashish|adashib qolish|yo'lini yo'qotish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113219
aberrant,adashgan|adashib qolgan|yo'lini yo'qotib qo'ygan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i8733
aberration,buzish|adashish|xato anglash|adashib qolish|yo'lini yo'qotish,noun,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i112617|i113219|i97598
abet,yomon ishga undamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34440
abetment,fitna|ig'vo,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74780
abettal,fitna|ig'vo,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74780
abetter,sherik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88020
abettor,sherik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88020
abeyance,noma'lum|mavhum holat|to'xtatib qo'yish|birmuncha vaqt to'xta-tish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i110557
abhor,juda yomon ko'rmoq,verb,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i30609
abhorrence,la'nat|nafrat|jirkanish|dushmanlik|nafratlanish|yomon ko'rish|nafrat bilan qarash|yomon ko'z bilan qarash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76177
abhorrent,qabih|razil|sovuq|yomon|beadab|man-fur|odobsiz|yaramas,adjective,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i8894
abidance,rozilik|to'g'ri kelish|yashaydigan joy|istiqomat qiladigan,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i40932|i41691
abide,chidamoq|ehidamoq|azob tortmoq|toqat qilmoq|bardosh bermoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25064
abiding,buzilmas|mustahkam|buzil-maydigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9632
ability,davlat|hokimiyat,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66424
abject,razil|jirkanch|ko'pikli|ko'pigi bor,adjective,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i4955
abjection,past|xarob|zavol|g'arib|inqiroz|tanazzul|kamsitish|tushkunlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i112895
abjuration,voz kechish|yuz o'girish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74526
abjure,tonmoq|qaytmoq|voz kechmoq|inkor qilmoq|yuz o'girmoq|tortib kiritmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25670
ablactate,sutdan ajratmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27552
ablactation,ko'kragidan tortib olish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107282|i36451
ablate,olib tashlamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22589|i23095
ablation,tugatish|yo'qotish|barham berish|olib tashlash|kesib tashlash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107283|i37474
ablative,gram|o'rin-payt kelishigi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69654
ablative case,gram|o'rin-payt kelishigi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69654
ablaut,lingv,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74031
ablaze,qizargan|shishgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1512
able,mohir|sog'lom|yaroqli|baquvvat|chidamli|layoqatli|qobiliyatli,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1|i1695|i2869|i5566
able-bodied,mohir|sog'lom|yaroqli|baquvvat|chidamli|qobiliyatli,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5566
ablution,tahorat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36734
ably,mohirona|mahorat bilan|mohirlik bilan,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19408
abnegate,tonmoq|rad qilmoq|inkorqilmoq|bosh tortmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25485|i27178|i32810
abnegation,rad|inkor|salbiy javob,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36487
abnormal,g'ayrilabiiy|tabiatda yo'q|tabiatda bo'lmagan,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i8420|i8732|i8745
abnormalcy,g'ayritabiiylik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113213
abnormality,buzuqlik|notog'rilik|g'ayritabiiylik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113213|i39306|i62217|i66591
aboard,kemada|yonma-yon|birqalorda,adverb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19864|i19865|i19866|i19867
abode,uy|makon|manzil|maskan|uy-joy|turar joy|istiqomatgoh|yashash joyi|yashaydigan joy|istiqomat qiladigan,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i53274|i81962
abolish,tugatmoq|yo'q qilmoq|bekor qilmoq,verb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i33868
abolishment,yo'qotish|yo'q qilish|bekor qilish|o'zgartirish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36609
abolition,yo'qotish|yo'q qilish|bekor qilish|o'zgartirish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36609
abolitionary,halokatli,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18035
abominable,qabih|razil|alamli|yaramas|jirkanch|dahshatli|qo'rqinchli|og'ritadigan|qahri qattiq|og'rig'i zo'r|nafratni keltiradigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6174|i7992
abominably,kir qilib|iflos holda|odam qo'rqadigan darajada,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18466|i20292
abominate,juda yomon ko'rmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i30609
abomination,la'nat|nafrat|jirkanish|dushmanlik|nafratlanish|yomon ko'rish|nafrat bilan qarash|yomon ko'z bilan qarash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i39352|i76177|i88025
aboriginal,azaliy|qadimgi|ibtidoiy|tub joylik|azaldan bor|eng burungi|qadimdan mavjud,adjective,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i4480|i5681
aboriginal,shu yerli|falon joylik|mahalliy kishi|tub joyli kishi|falon joyda tug'ilgan kishi,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i87217
aborigine,shu yerli|falon joylik|mahalliy kishi|tub joyli kishi|falon joyda tug'ilgan kishi,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i87217
abortion,omadsizlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i75154
abortive,muvaffaqiyatsiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5944
abortively,behuda|foydasiz|samarasiz,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19988
about,yaqin|qariyb|atrofda|atrofga|deyarli|atrofida|taqriban|taxminan|har yerda|tevaragida|hamma yerda|barcha joylarda,adverb,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18193|i18567|i18572|i18574|i18575|i18578|i20611
about turn,orqaga qaytish|orqaga aylanish|orqaga burilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37233
about-face,orqaga qaytish|orqaga aylanish|orqaga burilish|vaziyatning o'zgarishi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36269|i37233
above,usliga|ustida|yuqorida,adverb,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18622|i18624
above-mentioned,yuqorida aytilgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i666
above-named,yuqorida aytilgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i666
abradant,abraziv material,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i114804|i49771
abrade,yuvmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27898|i27912
abrader,abraziv material,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i49771
abranchial,oyquloqsiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6084
abranchiate,oyquloqsiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6084
abranchious,oyquloqsiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6084
abrase,yuvmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27912
abrasion,chaqa|artish|o'chirish|surkalish|yo'qotish|tirnoq izi|ishqalanish|yo'q qilish|tirnalgan joy,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107284|i112028|i97809
abrasive,dag'al|yaxshi ishlanmagan|g'ashini keltiradigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12375|i473
abrasive,abraziv material,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i114804
abrasive material,abraziv material,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i114804
abreaction,oshqozonni tozalash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36723
abreast,qatorda|bir safda,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19871
abridge,kamaytirmoq|qisqartirmoq|kaltaroq qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22937
abridged,qisqartirilgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16
abridgement,kapsula|quyulish|zich-lanish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70447
abridgment,kapsula|quyulish|zich-lanish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70447
abroad,dalada|maydonda|chet elda|chet elga,adverb,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18793|i19384|i19980
abrogate,bekor qilmoq|o'zgartirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34112
abrogation,bekor qilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36629
abrupt,tik|tasodifiy|kutilmagan|tikka tushgan|tikka ko'tarilgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12699|i3562|i6254|i6264
abruption,yoriq|ayirish|ajratish|uzib qo'yish|yorilgan joy|yulib ajratmoq|kuch bilan ajratmoq|bir-biridan judo qilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i41012
abruptness,tezlik|nogahoniylik|shiddatlilik|tasodifiylik|kutilmaganlik|to'satdan yuz be-rish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62819|i63590|i63636
abscess,chipqon|yiringlash|yiringli shish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i112156
abscissa,abssissa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i68380
abscission,kesib tashlash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107285|i37470
abscond,qochib ketmoq|qochib qolmoq|qutulib qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i32116
abscondment,lagerdan chi-qish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i35697
absence,ishtirok elmaslik,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i110301|i110963|i117495|i41861
absence seizure,ishtirok elmaslik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i110963
absent,muhtojlik,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5084
absentee,kelmagan kishi,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88030
absenteeism,sababsiz ishga chiqmaslik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i41862
absently,parishonxotirlik bilan,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18540
absentmindedly,parishonxotirlik bilan,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18540
absolute,pok|halol|mahkam|sofdil|to'g'ri|ashaddiy|buzilmas|vijdonli|mustahkam|o'taketgan|buzilmaydi-gan|uchiga chiqqan,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i2922|i493
absolute frequency,tezlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108159
absolute majority,ko'pchilik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108074
absolutely,g'oyat|bemalol|lamoman|mutlaqo|butunlay|juda ham|nihoyatda|yetarlicha,adverb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18194|i18199
absoluteness,qat'iy|batamom|mutlaqo|shubhasiz,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i61928|i63918
absolution,oqlash|avf etish|kechirish|guno-hidan o'tish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113613|i35899
absolutism,zulm|zolimlik|zulmkorlik|zulmini o'tkazish|qattiq zulm qilish|cheklanmagan hokimiyat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i112913|i68136|i69183|i81479
absolve,kechirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i26128|i26135
absolved,sof|toza|liniq|ochiq,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7195
absolvitory,oqlaydigan|aybsizligini ko'rsatadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5061
