english,uzbek,cefr,source_name,source_license,part_of_speech,source_ref
a,amper,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i108363
abolish,tugatmoq|yo'q qilmoq|bekor qilmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i33868
aboriginal,azaliy|qadimgi|ibtidoiy|tub joylik|azaldan bor|eng burungi|qadimdan mavjud,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i4480|i5681
aboriginal,shu yerli|falon joylik|mahalliy kishi|tub joyli kishi|falon joyda tug'ilgan kishi,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i87217
aborigine,shu yerli|falon joylik|mahalliy kishi|tub joyli kishi|falon joyda tug'ilgan kishi,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i87217
about,yaqin|qariyb|atrofda|atrofga|deyarli|atrofida|taqriban|taxminan|har yerda|tevaragida|hamma yerda|barcha joylarda,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18193|i18567|i18572|i18574|i18575|i18578|i20611
above,usliga|ustida|yuqorida,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18622|i18624
abroad,dalada|maydonda|chet elda|chet elga,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18793|i19384|i19980
absence,ishtirok elmaslik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i110301|i110963|i117495|i41861
absent,muhtojlik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i5084
absentee,kelmagan kishi,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88030
absolute,pok|halol|mahkam|sofdil|to'g'ri|ashaddiy|buzilmas|vijdonli|mustahkam|o'taketgan|buzilmaydi-gan|uchiga chiqqan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i2922|i493
absolutely,g'oyat|bemalol|lamoman|mutlaqo|butunlay|juda ham|nihoyatda|yetarlicha,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18194|i18199
absorb,emmoq|yulmoq|yutmoq|so'rmoq|botirmoq|egallamoq|o'xshatmoq|qon-dirmoq|to'ydirmoq|zabt etmoq|bosib olmoq|cho'ktirmoq|to'yg'izmoq|g'arq qilmoq|sho'ng'itmoq|ijaraga olmoq|nafsiga urmoq|yutib yubormoq|o'zigajalb elmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i24762|i24765|i24771|i29428
abstract,konspekt|qisqa bayon|mavhum tushuncha,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i67636|i70454
abstract,urmoq|ko'iarmoq|o'g'irlamoq|chimchilamoq|zarba bermoq|o'g'irlab ketmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i33118
abstraction,mavhumlik|noaniqlik|umum-lashtirish|mavhum tushuncha,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i35547|i37471|i49774|i66868|i67263|i67636
absurd,qiziq|bema'ni|kulgili|o'rinsiz|istehzoli|bo'lmag'ur|qovushmagan|kelishma-gan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i14268|i7818
abundant,serob,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i62
abuse,haqorat|so'kish|haqorat qilish|qattiq so'kish|zolimona murojaat qilish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i37611|i71799
academic,sinchkov|o'taketgan rasmiyatchi,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i11417
academic,akademik|o'quv yurtining o'qituvchisi|professori yoki ilrrtiy xodimi,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88038
academy,akademiya,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i49780|i80640|i80649|i80655
accent,sheva|urg'u|idioma|dialekt,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i73883|i74268
accent,ta'kidlamoq|urg'u qo'ymoq|ajratib ko'rsatmoq|alohida urg'u bermoq|alohida e'tibor bermoq|tinish belgilarini qo'ymoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i26503|i26649
accept,tan olmoq|ega bo'Imoq|qabul qilmoq|yo'l qo'ymoq|o'z zimmasiga olmoq,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25065|i25147|i25293|i25298|i25665|i32798|i32801|i32922|i32923|i33241|i35378
acceptable,ma'qul,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i12720|i5583|i6169|i84
acceptance,ishonch|asrab olish|qabul qilish|so'zning mazmunini yaxshi lushunib olish,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i107041|i110159|i35841|i36361|i61448|i69081|i74362
access,o'tish|kirish yo'li|kiradigan joy|ruxsal berish,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i36872|i49786|i49787|i64173|i64178|i69873
accessibility,foydali bo'lish|kirish mumkin bo'lgan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i61530|i61847
accessible,kirish mumkin bo'lgan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i2982
accessory,yordamchi,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i13047
accessory,asbob|buyum|jihoz|birga ishtirok etgan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i49788|i88042
accident,urish|voqea|hodisa|tasodif|turtish,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i75056|i75057
accidental,beparvo|tasodifiy|parishonxotir|diqqat-e'tiborsiz,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i7299
accommodation,ko'nikish|tartibga solish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i36426|i41731|i49792|i67146|i74370|i75423
accompany,kuzatib qo'ymoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i30383|i31868|i35245|i35247
accomplish,bajarmoq|erishmoq|amalga oshir-moq|ro'yobga chiqarmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i29944|i34338
accordingly,qarab|yarasha|mos ravishda|shunday qilib|tegishli ravishda,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18516|i18517
account,ertak|qissa|raqam|tarix|hikoya|rivoyat|tumshLiq|hisob-raqam|buxgalterlik|hisob raqami|hisobchilik ishi,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i106887|i110141|i64086|i64144|i70694|i70710|i71596|i71909|i74591|i84880
account,hisoblamoq|tasvirlamoq|xabar bermoq|hisobot bermoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i26422|i33060
accountability,javobgarlik,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i61603
accountant,hisobchi|buxgalter|nazoratchi|tekshiruvchi,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88051
accrue,ko'paymoq,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i22486|i32894
accumulate,yig'ma|yig'moq|lo'plamoq|bir yerda to'plamoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22503|i33256
accuracy,aniqlik|haqiqat|to'g'rilik',B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i62244|i62245
accurate,aniq|ravon|tayin|ma'lum|muayyan|ravshan|tayinli|to'g'ri,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i103|i3514
accusation,ayblash,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i71869|i74685
accuse,ayblamoq|ayb qo'ymoq|jinoyatchilikda ayblanmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25857|i25858
accustom,o'rgatmoq|odatlan-tirmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i23086
accustomed,oddiy|ljoddiy|odatdagi|odallangan,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i2754
ache,toliqmoq|azoblanmoq|azobchekmoq|azob tortmoq|tinkasi qurimoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22102|i30757
achievable,gapga kiradigan|quloq soladigan|bajarsa bo'ladigan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i10008
achieve,bajarmoq|erishmoq,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i34338
achievement,yutuq|g'alaba|bajarish|muvaffaqiyat,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i35600
acid,nordon|o'tkir|og'uli|achchiq|zaharli|kuporosli|nordonroq|kuporosga oid,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i13123|i9899
acid,doza|nuqta|o'lchovl|deraza oynasi,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i49809
acidic,nordon|nordonroq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i121|i13123
acknowledge,tanimoq|anglamoq|tan olmoq|tushunmoq|bilib olmoq|etirof etmoq|qabul qilmoq|yo'l qo'ymoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i24728|i25402|i25747|i26080|i26081|i26879
acoustic,akustik|tovushga oid,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i16302
acoustics,akustika,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i68672
acquaintance,yaxshi bilish|xabardor ekanlik|yaqin mu-nosabat,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i67450
acquire,o'smoq|yutmoq|rivojlanmoq|yetishtirmoq|g'olib chiqmoq|rivojlantirmoq|ishlabchiqarmoq|g'alaba qozonmoq|mahsu-lot bermoq|o'z zimmasiga olmoq|o'g'il qilib asrab olmoq|g'alabani qo'lga kiritmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22243|i24342|i24465|i33174
acquisition,olish|san'at|yetish|mahorat|ustalik|bajarish|egallash|erishish|o'zlashlirish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i106297|i35815|i66539|i67133
acre,akr,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i108226
acreage,akrlarda odchangan yer maydoni,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i63938
acrobatics,akrobatika|figurali uchish,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i36990|i37676
across,birining ustiga ikkinchisini ko'ndalang q'oyib,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i20048
act,son|qonun|raqam|jasorat|mardlik|rniqdor|ko'rsatma,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i35588|i70795|i72718
act,qilmoq|bajarmoq|o'ynamoq|yashirmoq|ijro etmoq|niqoblamoq|sir luimog|da'vo qilmoq|vakil bo'lmoq|amalga oshirmoq|vakil bo'lib qatnashmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i21819|i21834|i30339|i30340|i30347
action,harakat|faoliyat,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i107768|i110542|i35610|i38423|i40413|i41593|i41594|i49823|i62404|i69970
action,bajarmoq|ish ochmoq|amalga oshir-moq|ro'yobga chiqarmoq,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i29944|i34593
active,faol|dinamik|serharakat|dinamikaga oid,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i156|i170|i175|i188|i196|i203|i209|i211|i213|i215|i221|i5082|i8316|i9107
activity,harakat|faoliyat,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i107378|i107768|i110542|i113365|i37550|i61434
actor,xodim|aktyor|ishchi|ijrochi|o'yinchi|xizmatchi|bajaruvchi|amalga oshiruvchi|o'yinda ishtirok etuvchi,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88068|i88069
actress,aktrisa,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88071
actual,asl|bor|sof|naqd|toza|mavjud|haqiqiy|amaldagi|chinakam|haqqoniy|bor narsa|bor bo'lgan|dalilga asoslangan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i10599|i10600|i13639|i223|i3703
actually,aslida|chinakam|haqiqatan|haqiqatda|darhaqiqat|chindan ham|haqiqatan ham|dalil-isbotga asoslangan,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i19141|i19142|i19143|i19144
acute,o'tkir|kesuvchi|kesadigan|qirquvchi|qirqadigan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i9577
acute,bezgak,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i72346
acutely,zolimlarcha|shafqatsizlik bilan,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adverb,i21660
ad-lib,lasodifiy|nogahoniy|o'tilmagan|yozilmagan|tayyorlanmagan|maxsus tayyorlanmagan|tayyorgarliksiz aytilgan|tayyorgarliksiz bajarilgan,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i10141|i12233
adapt,moslashmoq|moslashtirmoq|to'g'ri kelmoq|tartibga keltirmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22462|i23224
add,bermoq|qo'shmoq|orttirmoq|topshirmoq|in'om qilmoq|biriashlirmoq|birlashtirmoq|qo'shib olmoq,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22623|i24940|i26345|i26710|i33358|i35399
addict,bangi|injiqlik|giyohvand|g'aroyibot,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88073|i88074
addiction,havas|mayil|qaramlik,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i110830|i35866|i76078
addition,o'tish|qo'shish|to'ldirish|ko'paytirish|qo'shuv alomati,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i106298|i109165|i37324|i39978|i49832|i81934
additional,qo'shimcha,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i252
additive,chiziqli,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i7733
additive,qo'shimcha|ma'lum bir maqsadda qo'shiladigan narsa,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i49833
address,nutq|eslash|manzil|tilga olish|aytih o'tish|so'zlash qobiliyati,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i62436|i63706|i69884|i72154|i72187|i73820|i74711|i81677
address,solmoq|yopmoq|gapirmoq|qoplamoq|to'shamoq|ustiga yozmoq|so'zlab aytmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i26529|i26742
addressee,oluvchi,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i88075
adept,usta|mohir|omilkor|malakali|mahoratli|tajribali|mutaxassis|ishbilarmon,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i12307
adept,his|xol|daho|ochko|sezgi|tuyg'u|yulduz|jodugar,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i88056
