english,synonym,weight,source
_Open…,& Open,0.8,OPUS-100 exact-Uzbek-translation heuristic
_Open…,& Open...,0.8,OPUS-100 exact-Uzbek-translation heuristic
Remove,_Remove,0.8,OPUS-100 exact-Uzbek-translation heuristic
Remove,& Remove,0.8,OPUS-100 exact-Uzbek-translation heuristic
Until,End:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Window,& Window,0.8,OPUS-100 exact-Uzbek-translation heuristic
Find,Find:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Find,Find…,0.8,OPUS-100 exact-Uzbek-translation heuristic
Find,_Find…,0.8,OPUS-100 exact-Uzbek-translation heuristic
Find,_Find:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Find,& Find:,0.8,OPUS-100 exact-Uzbek-translation heuristic
& Add,Add...,0.8,OPUS-100 exact-Uzbek-translation heuristic
Image,_Image:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Last,List:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Last,& List,0.8,OPUS-100 exact-Uzbek-translation heuristic
Hour:,24:00 Hour,0.8,OPUS-100 exact-Uzbek-translation heuristic
Selected,Selected:,0.8,OPUS-100 exact-Uzbek-translation heuristic
S:,New:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Select,_Select,0.8,OPUS-100 exact-Uzbek-translation heuristic
Taste!,'Taste!,0.8,OPUS-100 exact-Uzbek-translation heuristic
& Right,& Left:,0.8,OPUS-100 exact-Uzbek-translation heuristic
time,Time 1,0.8,OPUS-100 exact-Uzbek-translation heuristic
time,& Time:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Message,Message:,0.8,OPUS-100 exact-Uzbek-translation heuristic
My %1,%1's %2,0.8,OPUS-100 exact-Uzbek-translation heuristic
By %1,Error.,0.8,OPUS-100 exact-Uzbek-translation heuristic
By %1,Error:,0.8,OPUS-100 exact-Uzbek-translation heuristic
By %1,Error!,0.8,OPUS-100 exact-Uzbek-translation heuristic
By %1,Error: %1,0.8,OPUS-100 exact-Uzbek-translation heuristic
By %1,Error: %1?,0.8,OPUS-100 exact-Uzbek-translation heuristic
New,& New:,0.8,OPUS-100 exact-Uzbek-translation heuristic
New,& New...,0.8,OPUS-100 exact-Uzbek-translation heuristic
Created,Created:,0.8,OPUS-100 exact-Uzbek-translation heuristic
Path:,& Path,0.8,OPUS-100 exact-Uzbek-translation heuristic
no,none,0.8,OPUS-100 exact-Uzbek-translation heuristic
no,_None,0.8,OPUS-100 exact-Uzbek-translation heuristic
no,(None),0.8,OPUS-100 exact-Uzbek-translation heuristic
no,& None,0.8,OPUS-100 exact-Uzbek-translation heuristic
Help,_Help,0.8,OPUS-100 exact-Uzbek-translation heuristic
