subject_uuid,subject_id,name,short_name,category,level,difficulty,point,question_count,is_active
de44a449-aa40-5958-b7bd-6fc1b14f6be8,46,Common English Collocations,B1_COLLOCATIONS,Vocabulary,B1,6,3,100,true
608d06c4-129d-5f28-8a3c-a871a5041ca3,47,Basic Word Formation,B1_WORD_FORMATION,Vocabulary,B1,6,3,100,true
d84591e4-b071-5378-939d-bcafbded5db0,48,Vocabulary in Context,B1_VOCABULARY_CONTEXT,Vocabulary,B1,6,3,100,true
290f5d85-2eb3-5517-bab3-3928c9dee44f,49,Future Continuous,B2_FUTURE_CONTINUOUS,Grammar,B2,7,4,100,true
8dec8c4c-baaa-592c-9343-09cba12e1455,50,Future Perfect,B2_FUTURE_PERFECT,Grammar,B2,7,4,100,true
6660a535-253b-5efb-a109-b6ba929a2fd8,51,Past Perfect Continuous,B2_PAST_PERFECT_CONTINUOUS,Grammar,B2,7,4,100,true
8243fbb7-246b-5710-9098-c6a6c3562477,52,Advanced Narrative Tenses,B2_NARRATIVE_TENSES,Grammar,B2,7,4,100,true
cb1ac3e5-3914-54f3-a3e7-facb82ddd2dd,53,Third Conditional,B2_THIRD_CONDITIONAL,Grammar,B2,7,4,100,true
ef91028d-6fd1-5619-8f72-ae8cc12d2259,54,Mixed Conditionals,B2_MIXED_CONDITIONALS,Grammar,B2,7,4,100,true
f58727da-d08d-53fa-9553-2e9bcf0caae3,55,Advanced Passive Voice,B2_ADVANCED_PASSIVE,Grammar,B2,7,4,100,true
0fd9f8ae-ac91-54f5-a847-291b90790f95,56,Causative Have and Get,B2_CAUSATIVE,Grammar,B2,7,4,100,true
b45ead73-1e4b-506f-92cc-c3a6784d80f9,57,Non-Defining Relative Clauses,B2_NON_DEFINING_RELATIVE,Grammar,B2,8,4,100,true
1e2c6f6f-4ae6-595a-9662-50551ea40631,58,Advanced Reported Speech,B2_REPORTED_SPEECH_ADVANCED,Grammar,B2,8,4,100,true
85466b5b-4948-538d-95bf-a811e1a253c5,59,Modal Verbs of Past Deduction,B2_MODAL_DEDUCTION_PAST,Grammar,B2,8,4,100,true
e671d3d7-a45a-56e8-81cc-f8ca4439e805,60,Wish and If Only,B2_WISH_IF_ONLY,Grammar,B2,8,4,100,true
8959f07c-6966-5bd0-ab25-19045846ec5e,61,Advanced Gerund and Infinitive Patterns,B2_ADVANCED_GERUND_INFINITIVE,Grammar,B2,8,4,100,true
a47f3607-0551-56bc-86eb-28303d66dc21,62,Upper-Intermediate Phrasal Verbs,B2_PHRASAL_VERBS_ADVANCED,Vocabulary,B2,8,4,100,true
44ceaaf7-55b0-573f-9939-e3c17c79357e,63,Academic Collocations,B2_ACADEMIC_COLLOCATIONS,Vocabulary,B2,8,4,100,true
3eb818ca-96af-5ed0-9e4b-d363f458b76e,64,Upper-Intermediate Word Formation,B2_WORD_FORMATION_ADVANCED,Vocabulary,B2,8,4,100,true
bdb1f36e-f514-5ca4-a1c0-7640c7c15fae,65,Inversion after Negative Adverbials,C1_NEGATIVE_INVERSION,Advanced Grammar,C1,9,5,100,true
c0f5e2b8-c7cd-5d83-8caf-bdb2ab7cac30,66,Cleft Sentences and Emphasis,C1_CLEFT_SENTENCES,Advanced Grammar,C1,9,5,100,true
4d147094-9eb6-58f8-ba0d-63f6b86b99b5,67,Participle Clauses,C1_PARTICIPLE_CLAUSES,Advanced Grammar,C1,9,5,100,true
1e00c140-45ec-5da5-ab9a-ea0308430734,68,Reduced Relative Clauses,C1_REDUCED_RELATIVES,Advanced Grammar,C1,9,5,100,true
a7fb5c8a-5103-5d64-9e41-a9f793c66621,69,Inverted Conditionals,C1_INVERTED_CONDITIONALS,Advanced Grammar,C1,9,5,100,true
c2caec8a-3aaa-5ed8-8b99-29911811a500,70,Subjunctive and Formal Structures,C1_SUBJUNCTIVE,Advanced Grammar,C1,9,5,100,true
4ac5d450-67d5-540e-8657-7ba9cf1e5ecb,71,Advanced Modal Perfect Structures,C1_MODAL_PERFECT,Advanced Grammar,C1,9,5,100,true
c9231371-8603-5f30-97dc-f55235f16b03,72,Advanced Reporting and Passive Structures,C1_REPORTING_PASSIVE,Advanced Grammar,C1,9,5,100,true
873e3766-ffcc-5111-8fed-e36298988dc1,73,Nominalisation,C1_NOMINALISATION,Use of English,C1,10,5,100,true
93dfe09a-b8fc-5728-b219-7f79712a996a,74,Advanced Word Formation,C1_ADVANCED_WORD_FORMATION,Vocabulary,C1,10,5,100,true
72efbd6f-d340-5ff1-bec4-f3f537c81a0e,75,Idiomatic Language and Expressions,C1_IDIOMATIC_LANGUAGE,Vocabulary,C1,10,5,100,true
0eb9cd0f-dbb2-5787-a5fb-0469c63bc6ef,76,Advanced Collocations,C1_ADVANCED_COLLOCATIONS,Vocabulary,C1,10,5,100,true
6e7e0e9b-5f93-5ec5-b3e0-60855233abbb,77,Advanced Discourse Markers and Cohesion,C1_DISCOURSE_MARKERS,Use of English,C1,10,5,100,true
56799fdd-0d94-5b2d-a4f1-5d0a80d255bf,78,Advanced Sentence Transformation,C1_SENTENCE_TRANSFORMATION,Use of English,C1,10,5,100,true
e788e8d2-e2d2-57a2-a782-46cbeee135de,79,Advanced Error Identification,C1_ERROR_IDENTIFICATION,Use of English,C1,10,5,100,true
0f1fd7e6-518e-5c21-af74-0d2438a68797,80,Lexical Precision and Register,C1_LEXICAL_PRECISION,Vocabulary,C1,10,5,100,true
